,title,price,location
90,"Apple MacBook Pro Core i5 2.3GHz 4GB RAM 320GB HDD 13"" MC700LL/A  - Very Good",$169.97,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
91,"Dell Latitude Laptop Computer 3150 11.6"" Pentium 4GB Ram 250GB Win 10 WiFi HDMI",$109.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
92,"New ListingDell 11 Chromebook Laptop 11.6"" Intel 2.16 4GB Memory Bluetooth Webcam HDMI Wifi",$124.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
93,"New ListingDell Inspiron 15 3558 15.6in. (1TB, Intel Core i3 5th Gen., 2.1GHz, 6GB)",$60.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
94,"New ListingHP EliteBook 9480m 4th Gen i7-4600U  2.1 to 3.3GHz, 256 SSD, 8 GB memory",$150.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
95,"New ListingDell Precision 7730, Intel Xeon, 32GB, 512 NVMe, NVIDIA P4200, Windows 10 Pro",$799.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
96,"HP EliteBook 840 G2 14"" Core i5-5200U @ 2.20GHz 8GB RAM 128GB SSD",$149.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
97,New ListingNEW DELL Precision 7550 Intel Xeon @ 2.80GHZ 🚩32GB RAM+ 512GB SSD🚩WIN10 Pro,"$1,529.00","<span class=""s-item__location s-item__itemLocation"">from United States</span>"
98,"Dell Latitude 3330 Laptop Computer 13.3"" Intel Celeron 4GB Ram 320GB Windows 10",$129.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
99,GPD P2 Max Core m3-8100Y/16GB/512GB Windows 10 Home,$599.00,"<span class=""s-item__location s-item__itemLocation"">from Japan</span>"
100,New ListingHP EliteBook 840 G8 --- i5-1145G7 -- 16GB Ram -- 256GB SSD -- WTY 2024,$749.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
101,"HP EliteBook 840 G2 14"" Core i5-5200U @ 2.20GHz 8GB RAM 256GB SSD",$149.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
102,Dell Latitude 7480 Intel Core i7 3.9GHz - 64GB RAM 2TB SSD Webcam Win10 DVD+RW,"$370.00 to $1,010.00","<span class=""s-item__location s-item__itemLocation"">from United States</span>"
103,New ListingLenovo ThinkPad T14s G2 (Touch) --- i5-1135G7 - 16GB Ram - 512GB SSD - WTY 2024,$949.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
104,New ListingHP EliteBook 840 G3 Intel Core i7-6600U 8GB RAM 500GB SSD Win 10 Pro Has Issues,$274.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
105,New ListingLenovo ThinkPad P14s (Gen 2) --- i7-1165G7 - 16GB Ram - 512GB SSD - Quadro T500,"$1,099.99","<span class=""s-item__location s-item__itemLocation"">from United States</span>"
106,"New ListingHP EliteBook 850 G1 Laptop 15.6"" i5-4210U 8GB RAM 500GB HDD Win 10 Pro & Charger",$195.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
107,"New ListingUsed Lenovo Thinkpad T410, Windows 11 Pro 500GB SATA Hard Drive 8GB RAM  Laptop",$137.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
108,"New ListingDell XPS 13 9370 13"" FHD I5-8350U 1.90GHz 256GB SSD 8GB W11 Pro👓",$499.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
109,"New ListingDell Vostro 5510 15.6"" --- i7-11390H -- 16GB Ram -- 512GB SSD -- IPS 1080p",$849.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
110,"New ListingSilver 15.6"" HP laptop 15-bs031wm used i3-7100U processor 8gb RAM 240GB SSD",$50.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
111,New ListingSamsung Galaxy Book Flex 950QCG-K01 15.6” (12GB RAM Intel Core I7-1065G7),$98.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
112,"New ListingDell Inspiron 15 3000 3511 15.6"" FHD Laptop i5-1035G1 24GB 256GB",$399.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
113,"New ListingLenovo IdeaPad 3 14IML05 14"" 128GB SSD 2.40GHz 4GB Laptop - excellent condition",$199.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
114,New ListingLenovo ThinkPad T14s G2 --- Ryzen 5 5650U -- 16GB Ram -- 512GB SSD -- WTY 2025,$949.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
115,"New ListingHP EliteBook 840 G3 i7-6600U 2.6-3.4GHz, 16GB M.2 256gb  Excellent!!!",$150.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
116,New ListingLenovo ThinkPad T470s i7-7600u@2.80GHz 16GB RAM 500GB SSD BT BKLIT 1920 WEBCAM,$289.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
117,"HP Elite X2 1013 G3 Tablet With Keyboard (I5-8350U 1.70GHz, 16GB RAM,256GB HDD)",$347.69,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
118,"New Listing LOT of (2) Microsoft Surface Pro 5 12.3"" 2.50GHz CORE i7 [7660U] 512GB SSD 16GB",$99.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
119,"New ListingAsus TUF FX504G 15.6"" Intel Core i5 8GB RAM 1 TB Gaming Laptop Computer [BS51]",$575.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
120,Panasonic Toughbook CF-C2 MK2 TouchScreen i5-4300U 4GB RAM 128GB SSD Win10 Pro,$237.45,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
121,"Dell Latitude Rugged 5414 14"" Dual i5-6300U 2.40GHz 256GB SSD 16GB RAM #104155",$320.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
122,Lenovo ThinkPad Laptop Computer PC Core 2 Duo 4GB Ram 250GB Windows 10 WiFi DVD,$129.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
123,"Lenovo Thinkpad T420 14"" Laptop Intel Core i5 4GB 320GB Windows 10",$144.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
124,"New ListingLenovo Thinkpad T470p 14"" - 2.5 i5-7300 8GB 256GB SSD W10 Backlit FHD IPS",$300.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
125,"New ListingLot of 5 Dell Latitude E5440 14"" Laptop 1.9GHz i5-4310U 8GB NO HDD No OS Webcam",$499.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
126,New ListingUsed Lenovo Thinkpad  X140e Windows 11 8GB Memory 120GB SSD Drive  Laptop,$127.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
127,New ListingLenovo Thinkpad E15 (Gen 2)  --- i7-1165G7 -- 32GB Ram -- 1TB SSD -- IPS 1080p,$899.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
128,New ListingLenovo ThinkPad T530 Core i5-3210 2.5GHz 8GB RAM 160GB SSD Windows 11 Webcam,$229.95,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
129,New ListingLenovo ThinkPad T440 Intel Core i5-4300 1.9GHz 8GB RAM 256GB SSD Win 10 Pro,$149.97,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
130,"New ListingLot of 3 Lenovo ThinkPad E560 15.6"" Notebooks i5-6200-u 2.4GHz 8GB Ram No HDDs",$199.95,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
131,"New ListingLenovo ThinkPad T470s 14"" Intel i7-6600U 2.6GHz 16GB DDR4 GC SSD",$100.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
132,New ListingCF-53 - PANASONIC TOUCH  MK4🔹i5-4310M@2.0GHz/8GB/ 256gb ssd 2370 HRS,$400.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
133,"ASUS ZenBook Pro Duo UX581L i7 10750H, 16GB RAM, RTX 2060, 1TB NVME, 4K UHD OLED","$1,549.99","<span class=""s-item__location s-item__itemLocation"">from United States</span>"
134,"Dell Inspiron 15 3511 15.6"" FHD TOUCH i5-1135G7 16GB 1TB HDD i3511-5088BLK-PUS",$524.64,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
135,HP ELITEBOOK 820 G1 INTEL CORE i5-4300U 1.9GHz 120GB SSD 8GB RAM WIN 10 WEBCAM,$155.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
136,"New ListingDELL LATITUDE 9510 15"" i7-10810U 1.10GHZ 16GB 512GB SSD WARRANTY","$1,399.00","<span class=""s-item__location s-item__itemLocation"">from United States</span>"
137,"LG Gram 15.6"" FHD Ultra Light & Thin Laptop Intel i5-1135G7 16GB RAM 512GB SSD",$838.95,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
138,"New ListingLenovo T470s Laptop Core i7-7600u 2.80 GHz, 8GB, 512GB SSD Win10 - NICE!",$309.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
139,New ListingSamsung ChromeBook 13.3inch 256GB 8GB Intel i5 Notebook Gray XE930QCA-K02US #75N,$429.95,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
140,"New Listing🔥🔥HP Laptop 15 -1 TB hd, i7, 8gb Ram *Excellent Condition*🔥🔥TouchScreen",$470.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
